Year,Month,Monthly_v2,Annual,Five,Ten,Twenty,,,,
1894,8,-4.529,-0.175,-0.562,-0.631,-0.478,,,,
1894,9,-5.199,-0.151,-0.603,-0.628,-0.48,,,,
1894,10,-4.778,0.166,-0.591,-0.628,-0.471,,,,
1894,11,-6.689,0.209,-0.574,-0.607,-0.457,,,,
1894,12,-3.602,0.192,-0.578,-0.586,-0.447,,,,
1895,1,-5.285,0.157,-0.568,-0.557,-0.439,,,,
1895,2,-4.583,0.065,-0.573,-0.534,-0.437,,,,
1895,3,-4.974,0.03,-0.58,-0.519,-0.422,,,,
1895,4,-2.647,-0.049,-0.61,-0.477,-0.415,,,,
1895,5,-4.601,-0.028,-0.619,-0.45,-0.411,,,,
1895,6,-4.762,-0.109,-0.62,-0.438,-0.413,,,,
1895,7,-5.142,-0.252,-0.59,-0.438,-0.415,,,,
1895,8,-5.641,-0.339,-0.583,-0.433,-0.412,,,,
1895,9,-5.619,-0.508,-0.551,-0.426,-0.41,,,,
1895,10,-5.727,-0.819,-0.469,-0.425,-0.415,,,,
1895,11,-6.437,-0.852,-0.449,-0.448,-0.415,,,,
1895,12,-4.574,-0.84,-0.455,-0.44,-0.414,,,,
1896,1,-6.993,-0.802,-0.467,-0.462,-0.394,,,,
1896,2,-5.633,-0.731,-0.478,-0.421,-0.39,,,,
1896,3,-7,-0.679,-0.472,-0.412,-0.385,,,,
1896,4,-6.382,-0.607,-0.501,-0.411,-0.38,,,,
1896,5,-4.998,-0.764,-0.528,-0.397,-0.378,,,,
1896,6,-4.614,-0.746,-0.464,-0.398,-0.379,,,,
1896,7,-4.69,-0.557,-0.432,-0.393,-0.377,,,,
1896,8,-4.78,-0.632,-0.464,-0.391,-0.375,,,,
1896,9,-4.999,-0.664,-0.523,-0.398,-0.368,,,,
1896,10,-4.863,-0.59,-0.499,-0.381,-0.364,,,,
1896,11,-8.325,-0.582,-0.512,-0.379,-0.359,,,,
1896,12,-4.352,-0.615,-0.526,-0.377,-0.36,,,,
1897,1,-4.724,-0.594,-0.534,-0.369,-0.358,,,,
1897,2,-6.535,-0.62,-0.557,-0.338,-0.349,,,,
1897,3,-7.389,-0.613,-0.554,-0.339,-0.347,,,,
1897,4,-5.49,-0.689,-0.57,-0.323,-0.357,,,,
1897,5,-4.907,-0.663,-0.501,-0.314,-0.373,,,,
1897,6,-5.003,-0.66,-0.507,-0.329,-0.376,,,,
1897,7,-4.448,-0.595,-0.488,-0.327,-0.381,,,,
1897,8,-5.088,-0.612,-0.507,-0.325,-0.381,,,,
1897,9,-4.917,-0.353,-0.508,-0.329,-0.382,,,,
1897,10,-5.765,-0.162,-0.503,-0.329,-0.372,,,,
1897,11,-8.017,-0.063,-0.488,-0.315,-0.364,,,,
1897,12,-4.324,-0.034,-0.475,-0.334,-0.346,,,,
1898,1,-3.942,-0.123,-0.475,-0.316,-0.33,,,,
1898,2,-6.737,-0.116,-0.464,-0.295,-0.321,,,,
1898,3,-4.281,-0.079,-0.446,-0.281,-0.324,,,,
1898,4,-3.196,-0.174,-0.423,-0.259,-0.317,,,,
1898,5,-3.718,-0.178,-0.43,-0.266,-0.309,,,,
1898,6,-4.661,-0.205,-0.42,-0.269,-0.31,,,,
1898,7,-5.516,-0.331,-0.393,-0.275,-0.306,,,,
1898,8,-4.996,-0.562,-0.38,-0.283,-0.306,,,,
1898,9,-4.48,-0.941,-0.34,-0.289,-0.304,,,,
1898,10,-6.898,-1.088,-0.301,-0.285,-0.303,,,,
1898,11,-8.065,-1.271,-0.286,-0.272,-0.301,,,,
1898,12,-4.654,-1.331,-0.295,-0.229,-0.312,,,,
1899,1,-5.447,-1.309,-0.297,-0.217,-0.339,,,,
1899,2,-9.509,-1.381,-0.293,-0.237,-0.35,,,,
1899,3,-8.835,-1.427,-0.294,-0.249,-0.354,,,,
1899,4,-4.956,-1.332,-0.28,-0.229,-0.377,,,,
1899,5,-5.917,-0.87,-0.244,-0.222,-0.38,,,,
1899,6,-5.379,-0.816,-0.222,-0.228,-0.378,,,,
1899,7,-5.248,-0.706,-0.202,-0.234,-0.377,,,,
1899,8,-5.864,-0.388,-0.114,-0.241,-0.378,,,,
1899,9,-5.027,-0.075,-0.075,-0.25,-0.374,,,,
1899,10,-5.76,0.144,-0.054,-0.251,-0.371,,,,
1899,11,-2.525,0.331,-0.054,-0.219,-0.376,,,,
1899,12,-4.003,0.446,-0.08,-0.232,-0.365,,,,
1900,1,-4.133,0.452,-0.085,-0.232,-0.345,,,,
1900,2,-5.682,0.525,-0.078,-0.239,-0.346,,,,
1900,3,-5.078,0.566,-0.077,-0.224,-0.329,,,,
1900,4,-2.333,0.688,-0.047,-0.229,-0.312,,,,
1900,5,-3.674,0.324,-0.01,-0.225,-0.305,,,,
1900,6,-3.996,0.328,-0.049,-0.23,-0.302,,,,
1900,7,-5.181,0.223,-0.043,-0.23,-0.3,,,,
1900,8,-4.982,0.292,-0.007,-0.225,-0.3,,,,
1900,9,-4.539,0.332,-0.011,-0.218,-0.301,,,,
1900,10,-4.293,0.189,-0.048,-0.223,-0.301,,,,
1900,11,-6.896,0.157,-0.082,-0.199,-0.301,,,,
1900,12,-3.952,0.061,-0.083,-0.196,-0.303,,,,
1901,1,-5.396,0.092,-0.083,-0.175,-0.331,,,,
1901,2,-4.859,0.125,-0.087,-0.18,-0.313,,,,
1901,3,-4.588,0.081,-0.106,-0.162,-0.306,,,,
1901,4,-4.059,0.106,-0.07,-0.136,-0.31,,,,
1901,5,-4.058,0.169,-0.015,-0.133,-0.302,,,,
1901,6,-5.144,0.244,0.005,-0.131,-0.299,,,,
1901,7,-4.815,0.402,-0.002,-0.123,-0.297,,,,
1901,8,-4.581,0.701,-0.01,-0.121,-0.3,,,,
1901,9,-5.062,0.66,0.026,-0.115,-0.306,,,,
1901,10,-4,0.645,0.041,-0.11,-0.297,,,,
1901,11,-6.136,0.576,0.068,-0.077,-0.299,,,,
1901,12,-3.049,0.456,0.07,-0.101,-0.298,,,,
1902,1,-3.506,0.462,0.066,-0.132,-0.307,,,,
1902,2,-1.276,0.456,0.074,-0.141,-0.299,,,,
1902,3,-5.078,0.473,0.054,-0.136,-0.305,,,,
1902,4,-4.235,0.474,0.068,-0.164,-0.299,,,,
1902,5,-4.888,0.502,0.063,-0.192,-0.293,,,,
1902,6,-6.584,0.205,0.043,-0.195,-0.292,,,,
1902,7,-4.743,0.197,0.024,-0.207,-0.298,,,,
1902,8,-4.647,-0.078,0.029,-0.214,-0.301,,,,
1902,9,-4.866,-0.031,0.061,-0.219,-0.303,,,,
1902,10,-3.982,-0.13,0.045,-0.209,-0.305,,,,
1902,11,-5.797,-0.201,0.037,-0.18,-0.287,,,,
1902,12,-6.624,-0.048,0.014,-0.168,-0.286,,,,
1903,1,-3.593,-0.109,0.015,-0.161,-0.293,,,,
1903,2,-4.575,-0.161,0.015,-0.141,-0.291,,,,
1903,3,-4.519,-0.222,0.011,-0.169,-0.297,,,,
1903,4,-5.42,-0.285,-0.023,-0.19,-0.281,,,,
1903,5,-5.738,-0.201,0.033,-0.193,-0.284,,,,
1903,6,-4.751,0.064,0.028,-0.199,-0.286,,,,
1903,7,-5.479,-0.124,0.043,-0.187,-0.29,,,,
1903,8,-5.272,-0.577,0.02,-0.19,-0.294,,,,
1903,9,-5.589,-0.754,0.017,-0.184,-0.297,,,,
1903,10,-4.737,-0.641,0.03,-0.167,-0.301,,,,
1903,11,-4.801,-0.523,0.019,-0.14,-0.292,,,,
1903,12,-3.433,-0.565,0.033,-0.151,-0.266,,,,
1904,1,-5.856,-0.567,0.05,-0.179,-0.257,,,,
1904,2,-10.006,-0.574,0.051,-0.169,-0.269,,,,
1904,3,-6.651,-0.628,0.064,-0.118,-0.27,,,,
1904,4,-4.062,-0.642,0.06,-0.148,-0.268,,,,
1904,5,-4.318,-0.481,0.09,-0.141,-0.268,,,,
1904,6,-5.252,-0.625,0.02,-0.134,-0.271,,,,
1904,7,-5.503,-0.577,-0.063,-0.132,-0.273,,,,
1904,8,-5.356,-0.193,-0.168,-0.125,-0.276,,,,
1904,9,-6.245,0.099,-0.197,-0.12,-0.274,,,,
1904,10,-4.9,0.163,-0.273,-0.113,-0.269,,,,
1904,11,-2.866,0.176,-0.33,-0.145,-0.263,,,,
1904,12,-5.161,0.165,-0.309,-0.143,-0.272,,,,
1905,1,-5.279,0.2,-0.329,-0.133,-0.265,,,,
1905,2,-5.404,0.228,-0.35,-0.159,-0.259,,,,
1905,3,-3.15,0.35,-0.36,-0.139,-0.251,,,,
1905,4,-3.293,0.231,-0.371,-0.148,-0.244,,,,
1905,5,-4.159,0.175,-0.35,-0.161,-0.243,,,,
1905,6,-5.387,0.249,-0.288,-0.166,-0.248,,,,
1905,7,-5.083,0.316,-0.28,-0.163,-0.25,,,,
1905,8,-5.019,0.248,-0.276,-0.167,-0.244,,,,
1905,9,-4.784,0.112,-0.327,-0.175,-0.243,,,,
1905,10,-6.32,0.112,-0.331,-0.177,-0.241,,,,
1905,11,-3.541,0.069,-0.305,-0.155,-0.23,,,,
1905,12,-4.269,0.158,-0.314,-0.165,-0.221,,,,
1906,1,-4.481,0.266,-0.292,-0.2,-0.219,,,,
1906,2,-6.221,0.304,-0.293,-0.204,-0.22,,,,
1906,3,-4.773,0.347,-0.261,-0.2,-0.218,,,,
1906,4,-3.304,0.522,-0.265,-0.209,-0.206,,,,
1906,5,-4.675,0.454,-0.265,-0.207,-0.204,,,,
1906,6,-4.317,0.204,-0.307,-0.201,-0.205,,,,
1906,7,-3.78,-0.126,-0.357,-0.202,-0.205,,,,
1906,8,-4.565,-0.241,-0.327,-0.209,-0.206,,,,
1906,9,-4.27,-0.41,-0.262,-0.213,-0.205,,,,
1906,10,-4.217,-0.868,-0.337,-0.213,-0.208,,,,
1906,11,-4.363,-1.172,-0.351,-0.219,-0.191,,,,
1906,12,-7.262,-1.253,-0.339,-0.218,-0.199,,,,
1907,1,-8.446,-1.433,-0.329,-0.246,-0.208,,,,
1907,2,-7.604,-1.549,-0.325,-0.261,-0.214,,,,
1907,3,-6.797,-1.648,-0.293,-0.27,-0.204,,,,
1907,4,-8.793,-1.681,-0.295,-0.275,-0.206,,,,
1907,5,-8.326,-1.698,-0.352,-0.271,-0.214,,,,
1907,6,-5.289,-1.334,-0.33,-0.255,-0.22,,,,
1907,7,-5.947,-0.888,-0.29,-0.269,-0.221,,,,
1907,8,-5.947,-0.616,-0.347,-0.278,-0.222,,,,
1907,9,-5.461,-0.679,-0.338,-0.277,-0.219,,,,
1907,10,-4.616,-0.421,-0.342,-0.281,-0.223,,,,
1907,11,-4.567,-0.075,-0.359,-0.259,-0.204,,,,
1907,12,-2.891,-0.077,-0.346,-0.237,-0.235,,,,
1908,1,-3.093,0.072,-0.341,-0.269,-0.242,,,,
1908,2,-4.347,0.127,-0.348,-0.287,-0.247,,,,
1908,3,-7.555,0.273,-0.36,-0.314,-0.255,,,,
1908,4,-5.69,0.247,-0.331,-0.303,-0.265,,,,
1908,5,-4.179,0.225,-0.342,-0.303,-0.279,,,,
1908,6,-5.316,-0.03,-0.358,-0.302,-0.288,,,,
1908,7,-4.155,-0.509,-0.443,-0.305,-0.292,,,,
1908,8,-5.285,-0.833,-0.429,-0.306,-0.294,,,,
1908,9,-3.714,-0.431,-0.418,-0.306,-0.295,,,,
1908,10,-4.93,-0.671,-0.448,-0.317,-0.289,,,,
1908,11,-4.826,-0.752,-0.433,-0.313,-0.274,,,,
1908,12,-5.954,-0.685,-0.434,-0.303,-0.27,,,,
1909,1,-8.842,-0.752,-0.454,-0.298,-0.257,,,,
1909,2,-8.232,-0.735,-0.468,-0.3,-0.24,,,,
1909,3,-2.73,-0.789,-0.49,-0.291,-0.233,,,,
1909,4,-8.566,-0.791,-0.486,-0.308,-0.231,,,,
1909,5,-5.151,-0.917,-0.528,-0.313,-0.225,,,,
1909,6,-4.518,-0.74,-0.455,-0.314,-0.222,,,,
1909,7,-4.953,-0.241,-0.429,-0.312,-0.22,,,,
1909,8,-5.085,-0.292,-0.353,-0.312,-0.213,,,,
1909,9,-4.358,-0.283,-0.343,-0.298,-0.21,,,,
1909,10,-4.962,0.138,-0.277,-0.286,-0.218,,,,
1909,11,-6.337,0.135,-0.212,-0.306,-0.239,,,,
1909,12,-3.829,0.127,-0.201,-0.312,-0.247,,,,
1910,1,-2.855,0.144,-0.209,-0.298,-0.256,,,,
1910,2,-8.839,0.111,-0.205,-0.279,-0.239,,,,
1910,3,-2.621,0.016,-0.194,-0.278,-0.241,,,,
1910,4,-3.513,0.05,-0.192,-0.26,-0.257,,,,
1910,5,-5.192,0.225,-0.168,-0.26,-0.263,,,,
1910,6,-4.615,0.112,-0.186,-0.266,-0.269,,,,
1910,7,-4.749,-0.453,-0.259,-0.269,-0.267,,,,
1910,8,-5.483,-0.161,-0.298,-0.264,-0.264,,,,
1910,9,-5.495,-0.285,-0.301,-0.269,-0.263,,,,
1910,10,-4.556,-0.417,-0.276,-0.259,-0.263,,,,
1910,11,-4.231,-0.304,-0.3,-0.262,-0.254,,,,
1910,12,-5.186,-0.283,-0.29,-0.246,-0.256,,,,
1911,1,-9.633,-0.3,-0.317,-0.262,-0.25,,,,
1911,2,-5.331,-0.295,-0.32,-0.26,-0.25,,,,
1911,3,-4.121,-0.302,-0.35,-0.275,-0.257,,,,
1911,4,-5.094,-0.251,-0.369,-0.276,-0.258,,,,
1911,5,-3.828,-0.473,-0.361,-0.274,-0.259,,,,
1911,6,-4.365,-0.283,-0.299,-0.28,-0.252,,,,
1911,7,-4.958,-0.052,-0.239,-0.287,-0.248,,,,
1911,8,-5.421,0.137,-0.273,-0.291,-0.252,,,,
1911,9,-5.585,-0.037,-0.32,-0.294,-0.251,,,,
1911,10,-3.942,-0.016,-0.279,-0.306,-0.251,,,,
1911,11,-6.889,-0.064,-0.276,-0.304,-0.253,,,,
1911,12,-2.909,-0.089,-0.29,-0.298,-0.255,,,,
1912,1,-6.864,-0.208,-0.295,-0.284,-0.256,,,,
1912,2,-3.055,-0.231,-0.299,-0.286,-0.288,,,,
1912,3,-6.212,-0.168,-0.302,-0.271,-0.291,,,,
1912,4,-4.847,-0.213,-0.278,-0.249,-0.293,,,,
1912,5,-4.404,0.098,-0.26,-0.236,-0.292,,,,
1912,6,-4.657,0.012,-0.294,-0.245,-0.289,,,,
1912,7,-6.395,-0.04,-0.306,-0.235,-0.292,,,,
1912,8,-5.695,-0.341,-0.211,-0.231,-0.294,,,,
1912,9,-4.828,-0.467,-0.218,-0.219,-0.295,,,,
1912,10,-4.486,-0.413,-0.178,-0.237,-0.302,,,,
1912,11,-3.156,-0.518,-0.161,-0.228,-0.294,,,,
1912,12,-3.934,-0.522,-0.185,-0.301,-0.298,,,,
1913,1,-7.49,-0.468,-0.198,-0.323,-0.31,,,,
1913,2,-6.675,-0.449,-0.179,-0.353,-0.318,,,,
1913,3,-7.721,-0.506,-0.177,-0.342,-0.34,,,,
1913,4,-4.195,-0.638,-0.186,-0.34,-0.343,,,,
1913,5,-5.66,-0.74,-0.181,-0.365,-0.342,,,,
1913,6,-4.709,-0.598,-0.134,-0.378,-0.339,,,,
1913,7,-5.747,-0.407,-0.08,-0.396,-0.336,,,,
1913,8,-5.473,-0.711,-0.091,-0.398,-0.338,,,,
1913,9,-5.506,-0.525,-0.131,-0.406,-0.333,,,,
1913,10,-6.072,-0.686,-0.105,-0.411,-0.326,,,,
1913,11,-4.376,-0.628,-0.114,-0.407,-0.313,,,,
1913,12,-2.231,-0.682,-0.126,-0.389,-0.315,,,,
1914,1,-5.204,-0.642,-0.119,-0.335,-0.314,,,,
1914,2,-10.315,-0.628,-0.114,-0.312,-0.288,,,,
1914,3,-5.497,-0.549,-0.098,-0.349,-0.263,,,,
1914,4,-6.12,-0.338,-0.126,-0.314,-0.27,,,,
1914,5,-4.963,-0.412,-0.081,-0.308,-0.272,,,,
1914,6,-5.364,-0.711,-0.14,-0.309,-0.273,,,,
1914,7,-5.268,-0.579,-0.139,-0.309,-0.272,,,,
1914,8,-5.296,0.021,-0.219,-0.3,-0.271,,,,
1914,9,-4.557,0.227,-0.2,-0.299,-0.265,,,,
1914,10,-3.542,0.644,-0.22,-0.323,-0.261,,,,
1914,11,-5.262,0.706,-0.259,-0.332,-0.269,,,,
1914,12,-5.828,0.648,-0.288,-0.351,-0.279,,,,
1915,1,-3.616,0.627,-0.261,-0.379,-0.291,,,,
1915,2,-3.117,0.71,-0.257,-0.319,-0.299,,,,
1915,3,-3.018,0.641,-0.244,-0.344,-0.307,,,,
1915,4,-1.127,0.509,-0.283,-0.366,-0.31,,,,
1915,5,-4.209,0.62,-0.287,-0.365,-0.313,,,,
1915,6,-6.061,0.911,-0.415,-0.371,-0.311,,,,
1915,7,-5.52,0.676,-0.386,-0.371,-0.31,,,,
1915,8,-4.307,0.439,-0.408,-0.362,-0.308,,,,
1915,9,-5.381,0.146,-0.384,-0.352,-0.308,,,,
1915,10,-5.124,-0.053,-0.404,-0.349,-0.312,,,,
1915,11,-3.932,-0.068,-0.43,-0.354,-0.318,,,,
1915,12,-2.332,0.016,-0.465,-0.347,-0.305,,,,
1916,1,-6.441,0.094,-0.476,-0.299,-0.295,,,,
1916,2,-5.956,0.03,-0.475,-0.295,-0.287,,,,
1916,3,-6.542,0.089,-0.462,-0.313,-0.285,,,,
1916,4,-3.512,0.049,-0.452,-0.308,-0.295,,,,
1916,5,-4.385,0.03,-0.453,-0.31,-0.296,,,,
1916,6,-5.051,-0.315,-0.48,-0.304,-0.301,,,,
1916,7,-4.589,-0.345,-0.431,-0.295,-0.307,,,,
1916,8,-5.08,-0.504,-0.351,-0.295,-0.311,,,,
1916,9,-4.662,-0.379,-0.378,-0.289,-0.318,,,,
1916,10,-5.614,-0.594,-0.349,-0.289,-0.318,,,,
1916,11,-4.153,-0.79,-0.341,-0.287,-0.324,,,,
1916,12,-6.476,-0.901,-0.329,-0.292,-0.317,,,,
1917,1,-6.794,-0.914,-0.322,-0.266,-0.298,,,,
1917,2,-7.865,-0.945,-0.302,-0.316,-0.289,,,,
1917,3,-5.053,-0.898,-0.297,-0.312,-0.274,,,,
1917,4,-6.083,-0.997,-0.369,-0.311,-0.261,,,,
1917,5,-6.741,-0.935,-0.404,-0.313,-0.251,,,,
1917,6,-6.388,-1.363,-0.408,-0.322,-0.252,,,,
1917,7,-4.737,-1.278,-0.453,-0.315,-0.247,,,,
1917,8,-5.458,-1.288,-0.428,-0.31,-0.243,,,,
1917,9,-4.091,-1.387,-0.471,-0.312,-0.239,,,,
1917,10,-6.807,-1.332,-0.555,-0.322,-0.236,,,,
1917,11,-3.406,-1.369,-0.57,-0.33,-0.249,,,,
1917,12,-11.62,-1.408,-0.557,-0.36,-0.27,,,,
1918,1,-5.764,-1.543,-0.543,-0.351,-0.268,,,,
1918,2,-7.984,-1.544,-0.545,-0.35,-0.263,,,,
1918,3,-6.243,-1.595,-0.526,-0.367,-0.25,,,,
1918,4,-5.422,-1.485,-0.512,-0.382,-0.258,,,,
1918,5,-7.187,-1.569,-0.527,-0.38,-0.259,,,,
1918,6,-6.857,-0.92,-0.56,-0.375,-0.256,,,,
1918,7,-6.363,-0.632,-0.518,-0.367,-0.258,,,,
1918,8,-5.463,-0.424,-0.499,-0.37,-0.258,,,,
1918,9,-4.711,-0.499,-0.495,-0.36,-0.263,,,,
1918,10,-5.484,-0.409,-0.51,-0.335,-0.264,,,,
1918,11,-4.41,-0.185,-0.506,-0.314,-0.253,,,,
1918,12,-3.83,0,-0.483,-0.327,-0.232,,,,
1919,1,-2.312,0.124,-0.47,-0.331,-0.215,,,,
1919,2,-5.489,0.241,-0.477,-0.275,-0.205,,,,
1919,3,-7.139,0.278,-0.479,-0.236,-0.215,,,,
1919,4,-4.34,0.081,-0.452,-0.232,-0.204,,,,
1919,5,-4.503,-0.168,-0.493,-0.231,-0.209,,,,
1919,6,-4.639,-0.355,-0.444,-0.232,-0.214,,,,
1919,7,-4.868,-0.686,-0.393,-0.231,-0.217,,,,
1919,8,-4.064,-0.363,-0.412,-0.231,-0.216,,,,
1919,9,-4.273,-0.234,-0.424,-0.231,-0.219,,,,
1919,10,-7.837,-0.389,-0.402,-0.236,-0.213,,,,
1919,11,-7.402,-0.437,-0.367,-0.233,-0.209,,,,
1919,12,-6.079,-0.494,-0.356,-0.246,-0.221,,,,
1920,1,-6.274,-0.477,-0.369,-0.284,-0.234,,,,
1920,2,-1.62,-0.504,-0.363,-0.32,-0.219,,,,
1920,3,-5.588,-0.506,-0.379,-0.337,-0.224,,,,
1920,4,-6.197,-0.208,-0.36,-0.361,-0.229,,,,
1920,5,-5.08,0.008,-0.372,-0.367,-0.228,,,,
1920,6,-5.331,0.153,-0.304,-0.356,-0.225,,,,
1920,7,-4.654,0.351,-0.315,-0.351,-0.223,,,,
1920,8,-4.397,0.084,-0.291,-0.353,-0.217,,,,
1920,9,-4.288,0.023,-0.35,-0.348,-0.213,,,,
1920,10,-4.271,0.172,-0.36,-0.365,-0.216,,,,
1920,11,-4.809,0.25,-0.331,-0.374,-0.213,,,,
1920,12,-4.336,0.389,-0.284,-0.365,-0.197,,,,
1921,1,-3.891,0.461,-0.259,-0.328,-0.163,,,,
1921,2,-4.823,0.369,-0.264,-0.314,-0.145,,,,
1921,3,-6.321,0.327,-0.257,-0.296,-0.149,,,,
1921,4,-4.414,0.348,-0.217,-0.315,-0.144,,,,
1921,5,-4.146,0.197,-0.174,-0.319,-0.149,,,,
1921,6,-3.665,0.265,-0.174,-0.322,-0.149,,,,
1921,7,-3.784,0.281,-0.23,-0.327,-0.144,,,,
1921,8,-5.499,-0.071,-0.199,-0.33,-0.141,,,,
1921,9,-4.796,-0.026,-0.093,-0.342,-0.133,,,,
1921,10,-4.013,-0.051,-0.116,-0.33,-0.13,,,,
1921,11,-6.624,-0.092,-0.121,-0.343,-0.115,,,,
1921,12,-3.529,-0.266,-0.135,-0.335,-0.114,,,,
1922,1,-3.694,-0.411,-0.139,-0.311,-0.101,,,,
1922,2,-9.048,-0.378,-0.16,-0.291,-0.119,,,,
1922,3,-5.781,-0.4,-0.166,-0.277,-0.119,,,,
1922,4,-4.718,-0.538,-0.104,-0.273,-0.117,,,,
1922,5,-4.634,-0.328,-0.061,-0.267,-0.113,,,,
1922,6,-5.75,-0.664,-0.083,-0.259,-0.113,,,,
1922,7,-5.521,-0.891,-0.116,-0.258,-0.107,,,,
1922,8,-5.11,-0.683,-0.212,-0.255,-0.099,,,,
1922,9,-5.06,-1.017,-0.203,-0.258,-0.095,,,,
1922,10,-5.671,-1.126,-0.166,-0.236,-0.099,,,,
1922,11,-4.098,-1.193,-0.164,-0.271,-0.118,,,,
1922,12,-7.563,-1.05,-0.155,-0.239,-0.126,,,,
1923,1,-6.417,-0.995,-0.158,-0.213,-0.117,,,,
1923,2,-6.553,-1.047,-0.161,-0.173,-0.118,,,,
1923,3,-9.787,-0.984,-0.17,-0.158,-0.106,,,,
1923,4,-6.027,-0.768,-0.218,-0.177,-0.111,,,,
1923,5,-5.438,-0.581,-0.221,-0.153,-0.107,,,,
1923,6,-4.032,-0.27,-0.17,-0.134,-0.111,,,,
1923,7,-4.859,-0.206,-0.138,-0.119,-0.109,,,,
1923,8,-5.742,0.039,-0.129,-0.119,-0.103,,,,
1923,9,-4.304,0.786,-0.097,-0.12,-0.099,,,,
1923,10,-3.073,0.813,-0.119,-0.117,-0.1,,,,
1923,11,-1.858,0.867,-0.132,-0.099,-0.116,,,,
1923,12,-3.826,0.744,-0.161,-0.074,-0.155,,,,
1924,1,-5.652,0.724,-0.184,-0.095,-0.154,,,,
1924,2,-3.62,0.76,-0.184,-0.097,-0.133,,,,
1924,3,-0.819,0.733,-0.205,-0.082,-0.136,,,,
1924,4,-5.705,0.647,-0.208,-0.094,-0.129,,,,
1924,5,-4.784,0.4,-0.193,-0.109,-0.128,,,,
1924,6,-5.507,0.101,-0.227,-0.118,-0.128,,,,
1924,7,-5.106,-0.116,-0.23,-0.126,-0.128,,,,
1924,8,-5.313,-0.428,-0.17,-0.133,-0.131,,,,
1924,9,-4.616,-0.783,-0.13,-0.139,-0.137,,,,
1924,10,-4.108,-0.637,-0.144,-0.103,-0.141,,,,
1924,11,-4.827,-0.65,-0.168,-0.085,-0.135,,,,
1924,12,-7.415,-0.592,-0.161,-0.09,-0.134,,,,
1925,1,-8.249,-0.572,-0.148,-0.089,-0.156,,,,
1925,2,-7.362,-0.507,-0.147,-0.118,-0.154,,,,
1925,3,-5.086,-0.528,-0.136,-0.103,-0.17,,,,
1925,4,-3.956,-0.778,-0.111,-0.092,-0.19,,,,
1925,5,-4.933,-0.794,-0.17,-0.09,-0.195,,,,
1925,6,-4.819,-0.281,-0.174,-0.079,-0.19,,,,
1925,7,-4.858,0.24,-0.111,-0.076,-0.184,,,,
1925,8,-4.531,0.498,-0.055,-0.073,-0.188,,,,
1925,9,-4.868,0.558,0.034,-0.074,-0.185,,,,
1925,10,-7.109,0.407,0.007,-0.083,-0.189,,,,
1925,11,-5.023,0.409,0.026,-0.073,-0.206,,,,
1925,12,-1.254,0.357,0.016,-0.047,-0.214,,,,
1926,1,-2.002,0.335,0.021,-0.026,-0.216,,,,
1926,2,-4.27,0.253,0.027,0.004,-0.234,,,,
1926,3,-4.367,0.153,0.017,0.016,-0.221,,,,
1926,4,-5.758,0.398,-0.018,0.019,-0.234,,,,
1926,5,-4.919,0.336,-0.024,0.011,-0.238,,,,
1926,6,-5.44,-0.02,0.027,0.007,-0.237,,,,
1926,7,-5.118,-0.179,0.04,0.006,-0.235,,,,
1926,8,-5.512,-0.276,0.004,0.014,-0.234,,,,
1926,9,-6.07,-0.192,-0.07,0.023,-0.237,,,,
1926,10,-4.172,-0.179,-0.071,0.029,-0.242,,,,
1926,11,-5.769,-0.271,-0.097,0.057,-0.25,,,,
1926,12,-5.527,-0.266,-0.101,0.063,-0.25,,,,
1927,1,-3.908,-0.232,-0.113,0.064,-0.248,,,,
1927,2,-5.429,-0.192,-0.105,0.078,-0.236,,,,
1927,3,-3.356,-0.057,-0.112,0.074,-0.228,,,,
1927,4,-5.609,-0.053,-0.103,0.077,-0.218,,,,
1927,5,-6.023,-0.209,-0.109,0.086,-0.205,,,,
1927,6,-5.38,-0.401,-0.098,0.097,-0.194,,,,
1927,7,-4.712,-0.293,-0.062,0.1,-0.193,,,,
1927,8,-5.024,-0.108,-0.025,0.112,-0.191,,,,
1927,9,-4.454,-0.2,-0.003,0.122,-0.191,,,,
1927,10,-4.122,-0.369,-0.019,0.123,-0.181,,,,
1927,11,-7.64,-0.226,-0.017,0.094,-0.186,,,,
1927,12,-7.838,-0.162,-0.003,0.107,-0.164,,,,
1928,1,-2.605,-0.147,0.006,0.116,-0.154,,,,
1928,2,-3.214,-0.181,0.015,0.115,-0.149,,,,
1928,3,-4.46,-0.218,0.022,0.155,-0.136,,,,
1928,4,-7.63,-0.303,0.051,0.161,-0.137,,,,
1928,5,-4.317,0.145,0.076,0.166,-0.123,,,,
1928,6,-4.606,0.736,0.076,0.154,-0.112,,,,
1928,7,-4.539,0.545,0.086,0.15,-0.102,,,,
1928,8,-5.423,0.333,0.138,0.164,-0.099,,,,
1928,9,-4.903,0.265,0.128,0.162,-0.089,,,,
1928,10,-5.137,0.422,0.157,0.135,-0.077,,,,
1928,11,-2.27,0.254,0.154,0.083,-0.078,,,,
1928,12,-0.74,0.158,0.176,0.018,-0.073,,,,
1929,1,-4.899,0.05,0.195,0.023,-0.076,,,,
1929,2,-5.759,0.1,0.212,0.01,-0.092,,,,
1929,3,-5.272,0.091,0.25,-0.037,-0.095,,,,
1929,4,-5.749,0.221,0.265,-0.025,-0.093,,,,
1929,5,-6.333,-0.025,0.308,-0.024,-0.092,,,,
