Year,Month,Monthly_Anomaly, Monthly Unc.,Annual_Anomaly,Annual Unc.,Five_year_Anomaly,Five-year Unc.,Ten_year_Anomaly,Ten-year Unc.,Twenty_year_Anomaly,Twentry-year Unc.
2016,2,2.59,0.211,2.234,0.094,1.26,0.072,NaN,NaN,NaN,NaN
2016,3,2.983,0.182,2.24,0.092,1.21,0.072,NaN,NaN,NaN,NaN
2016,4,0.115,0.194,2.195,0.09,1.16,0.072,NaN,NaN,NaN,NaN
2016,5,2.314,0.184,2.394,0.092,1.156,0.073,NaN,NaN,NaN,NaN
2016,6,1.493,0.214,2.144,0.087,1.263,0.073,NaN,NaN,NaN,NaN
2016,7,1.175,0.157,2.129,0.083,1.242,0.073,NaN,NaN,NaN,NaN
2016,8,1.595,0.156,2.158,0.086,1.235,0.072,NaN,NaN,NaN,NaN
2016,9,1.681,0.199,1.957,0.092,1.322,0.072,NaN,NaN,NaN,NaN
2016,10,0.252,0.143,2.001,0.086,1.343,0.071,NaN,NaN,NaN,NaN
2016,11,4.726,0.227,1.955,0.089,1.339,0.073,NaN,NaN,NaN,NaN
2016,12,0.885,0.236,1.91,0.089,1.329,0.072,NaN,NaN,NaN,NaN
2017,1,5.739,0.245,1.876,0.082,1.322,0.072,NaN,NaN,NaN,NaN
2017,2,2.942,0.306,1.862,0.081,1.312,0.074,NaN,NaN,NaN,NaN
2017,3,0.567,0.316,1.894,0.083,1.331,0.075,NaN,NaN,NaN,NaN
2017,4,0.643,0.155,1.974,0.086,1.327,0.074,NaN,NaN,NaN,NaN
2017,5,1.766,0.201,1.53,0.085,1.367,0.075,NaN,NaN,NaN,NaN
2017,6,0.954,0.281,1.623,0.083,1.357,0.074,NaN,NaN,NaN,NaN
2017,7,0.764,0.165,1.391,0.08,1.37,0.074,NaN,NaN,NaN,NaN
2017,8,1.425,0.196,1.11,0.09,1.425,0.074,NaN,NaN,NaN,NaN
2017,9,2.063,0.163,1.256,0.087,1.408,0.075,NaN,NaN,NaN,NaN
2017,10,1.209,0.184,1.088,0.092,1.386,0.075,NaN,NaN,NaN,NaN
2017,11,-0.593,0.198,0.984,0.103,1.361,0.074,NaN,NaN,NaN,NaN
2017,12,1.999,0.236,0.947,0.11,1.354,0.075,NaN,NaN,NaN,NaN
2018,1,2.95,0.212,0.98,0.113,NaN,NaN,NaN,NaN,NaN,NaN
2018,2,-0.431,0.427,0.891,0.114,NaN,NaN,NaN,NaN,NaN,NaN
2018,3,2.323,0.233,0.621,0.115,NaN,NaN,NaN,NaN,NaN,NaN
2018,4,-1.377,0.218,0.434,0.11,NaN,NaN,NaN,NaN,NaN,NaN
2018,5,0.519,0.29,0.43,0.104,NaN,NaN,NaN,NaN,NaN,NaN
2018,6,0.517,0.306,0.56,0.103,NaN,NaN,NaN,NaN,NaN,NaN
2018,7,1.162,0.217,0.459,0.108,NaN,NaN,NaN,NaN,NaN,NaN
2018,8,0.353,0.144,0.376,0.097,NaN,NaN,NaN,NaN,NaN,NaN
2018,9,-1.175,0.192,0.472,0.103,NaN,NaN,NaN,NaN,NaN,NaN
2018,10,-1.035,0.17,0.641,0.099,NaN,NaN,NaN,NaN,NaN,NaN
2018,11,-0.641,0.181,0.677,0.098,NaN,NaN,NaN,NaN,NaN,NaN
2018,12,3.561,0.188,0.694,0.088,NaN,NaN,NaN,NaN,NaN,NaN
2019,1,1.731,0.227,0.656,0.091,NaN,NaN,NaN,NaN,NaN,NaN
2019,2,-1.431,0.354,0.669,0.096,NaN,NaN,NaN,NaN,NaN,NaN
2019,3,3.481,0.31,0.9,0.096,NaN,NaN,NaN,NaN,NaN,NaN
2019,4,0.652,0.196,1.106,0.104,NaN,NaN,NaN,NaN,NaN,NaN
2019,5,0.946,0.273,1.253,0.115,NaN,NaN,NaN,NaN,NaN,NaN
2019,6,0.719,0.248,1.132,0.122,NaN,NaN,NaN,NaN,NaN,NaN
2019,7,0.713,0.168,1.231,0.122,NaN,NaN,NaN,NaN,NaN,NaN
2019,8,0.506,0.216,1.462,0.128,NaN,NaN,NaN,NaN,NaN,NaN
2019,9,1.601,0.176,1.215,0.126,NaN,NaN,NaN,NaN,NaN,NaN
2019,10,1.437,0.226,1.135,0.126,NaN,NaN,NaN,NaN,NaN,NaN
2019,11,1.118,0.202,1.051,0.112,NaN,NaN,NaN,NaN,NaN,NaN
2019,12,2.107,0.288,1.071,0.118,NaN,NaN,NaN,NaN,NaN,NaN
2020,1,2.925,0.227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020,2,1.342,0.234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020,3,0.508,0.242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020,4,-0.306,0.176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020,5,-0.055,0.196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020,6,0.954,0.355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
