Year,Month,Monthly,,,Annual,Five,Ten,Twenty,,,,
2013,6,1.55,,,0.798,1.2,1.427,NaN,,,,
2013,7,0.376,,,0.879,1.246,1.43,NaN,,,,
2013,8,1.256,,,0.604,1.277,1.425,NaN,,,,
2013,9,1.84,,,0.289,1.324,1.411,NaN,,,,
2013,10,1.961,,,0.325,1.343,1.391,NaN,,,,
2013,11,-0.431,,,0.379,1.371,1.367,NaN,,,,
2013,12,-2.82,,,0.358,1.385,1.414,NaN,,,,
2014,1,2.987,,,0.42,1.383,1.415,NaN,,,,
2014,2,-1.02,,,0.41,1.387,1.391,NaN,,,,
2014,3,-1.719,,,0.296,1.377,1.429,NaN,,,,
2014,4,-0.638,,,0.269,1.347,1.427,NaN,,,,
2014,5,1.208,,,0.198,1.404,1.446,NaN,,,,
2014,6,1.291,,,0.661,1.354,1.45,NaN,,,,
2014,7,1.123,,,0.589,1.398,1.454,NaN,,,,
2014,8,1.143,,,0.514,1.371,1.455,NaN,,,,
2014,9,0.466,,,0.783,1.342,1.448,NaN,,,,
2014,10,1.636,,,0.918,1.329,1.466,NaN,,,,
2014,11,-1.281,,,0.939,1.332,1.447,NaN,,,,
2014,12,2.738,,,0.947,1.315,1.449,NaN,,,,
2015,1,2.121,,,0.912,1.296,1.435,NaN,,,,
2015,2,-1.924,,,0.902,1.292,1.397,NaN,,,,
2015,3,1.511,,,0.998,1.283,1.351,NaN,,,,
2015,4,0.985,,,0.928,1.296,1.304,NaN,,,,
2015,5,1.456,,,1.23,1.291,1.296,NaN,,,,
2015,6,1.392,,,1.325,1.31,1.297,NaN,,,,
2015,7,0.703,,,1.641,1.326,NaN,NaN,,,,
2015,8,1.026,,,2.017,1.281,NaN,NaN,,,,
2015,9,1.615,,,2.14,1.285,NaN,NaN,,,,
2015,10,0.79,,,2.068,1.28,NaN,NaN,,,,
2015,11,2.342,,,2.139,1.279,NaN,NaN,,,,
2015,12,3.88,,,2.147,1.262,NaN,NaN,,,,
2016,1,5.92,,,2.187,1.275,NaN,NaN,,,,
2016,2,2.59,,,2.234,1.26,NaN,NaN,,,,
2016,3,2.983,,,2.24,1.21,NaN,NaN,,,,
2016,4,0.115,,,2.195,1.16,NaN,NaN,,,,
2016,5,2.314,,,2.394,1.156,NaN,NaN,,,,
2016,6,1.493,,,2.144,1.263,NaN,NaN,,,,
2016,7,1.175,,,2.129,1.242,NaN,NaN,,,,
2016,8,1.595,,,2.158,1.235,NaN,NaN,,,,
2016,9,1.681,,,1.957,1.322,NaN,NaN,,,,
2016,10,0.252,,,2.001,1.343,NaN,NaN,,,,
2016,11,4.726,,,1.955,1.339,NaN,NaN,,,,
2016,12,0.885,,,1.91,1.329,NaN,NaN,,,,
2017,1,5.739,,,1.876,1.322,NaN,NaN,,,,
2017,2,2.942,,,1.862,1.312,NaN,NaN,,,,
2017,3,0.567,,,1.894,1.331,NaN,NaN,,,,
2017,4,0.643,,,1.974,1.327,NaN,NaN,,,,
2017,5,1.766,,,1.53,1.367,NaN,NaN,,,,
2017,6,0.954,,,1.623,1.357,NaN,NaN,,,,
2017,7,0.764,,,1.391,1.37,NaN,NaN,,,,
2017,8,1.425,,,1.11,1.425,NaN,NaN,,,,
2017,9,2.063,,,1.256,1.408,NaN,NaN,,,,
2017,10,1.209,,,1.088,1.386,NaN,NaN,,,,
2017,11,-0.593,,,0.984,1.361,NaN,NaN,,,,
2017,12,1.999,,,0.947,1.354,NaN,NaN,,,,
2018,1,2.95,,,0.98,NaN,NaN,NaN,,,,
2018,2,-0.431,,,0.891,NaN,NaN,NaN,,,,
2018,3,2.323,,,0.621,NaN,NaN,NaN,,,,
2018,4,-1.377,,,0.434,NaN,NaN,NaN,,,,
2018,5,0.519,,,0.43,NaN,NaN,NaN,,,,
2018,6,0.517,,,0.56,NaN,NaN,NaN,,,,
2018,7,1.162,,,0.459,NaN,NaN,NaN,,,,
2018,8,0.353,,,0.376,NaN,NaN,NaN,,,,
2018,9,-1.175,,,0.472,NaN,NaN,NaN,,,,
2018,10,-1.035,,,0.641,NaN,NaN,NaN,,,,
2018,11,-0.641,,,0.677,NaN,NaN,NaN,,,,
2018,12,3.561,,,0.694,NaN,NaN,NaN,,,,
2019,1,1.731,,,0.656,NaN,NaN,NaN,,,,
2019,2,-1.431,,,0.669,NaN,NaN,NaN,,,,
2019,3,3.481,,,0.9,NaN,NaN,NaN,,,,
2019,4,0.652,,,1.106,NaN,NaN,NaN,,,,
2019,5,0.946,,,1.253,NaN,NaN,NaN,,,,
2019,6,0.719,,,1.132,NaN,NaN,NaN,,,,
2019,7,0.713,,,1.231,NaN,NaN,NaN,,,,
2019,8,0.506,,,1.462,NaN,NaN,NaN,,,,
2019,9,1.601,,,1.215,NaN,NaN,NaN,,,,
2019,10,1.437,,,1.135,NaN,NaN,NaN,,,,
2019,11,1.118,,,1.051,NaN,NaN,NaN,,,,
2019,12,2.107,,,1.071,NaN,NaN,NaN,,,,
2020,1,2.925,,,NaN,NaN,NaN,NaN,,,,
2020,2,1.342,,,NaN,NaN,NaN,NaN,,,,
2020,3,0.508,,,NaN,NaN,NaN,NaN,,,,
2020,4,-0.306,,,NaN,NaN,NaN,NaN,,,,
2020,5,-0.055,,,NaN,NaN,NaN,NaN,,,,
2020,6,0.954,,,NaN,NaN,NaN,NaN,,,,

