Year,Month,Monthly,,,Annual,Five,Ten,Twenty,,,,
1987,4,1.837,-4.753,,0.941,0.44,0.308,0.285,,,,
1987,5,-0.174,2.216,,1.392,0.415,0.303,0.275,,,,
1987,6,0.485,9.735,,1.555,0.442,0.298,0.276,,,,
1987,7,0.151,13.021,,1.221,0.41,0.286,0.282,,,,
1987,8,-1.007,10.373,,0.96,0.389,0.293,0.286,,,,
1987,9,1.689,7.109,,1.076,0.421,0.281,0.289,,,,
1987,10,0.326,-1.694,,1.096,0.449,0.275,0.281,,,,
1987,11,1.344,-10.166,,1.166,0.434,0.3,0.286,,,,
1987,12,4.793,-14.907,,1.188,0.441,0.297,0.314,,,,
1988,1,0.582,-22.918,,1.226,0.455,0.299,0.312,,,,
1988,2,-0.021,-20.941,,1.369,0.471,0.294,0.32,,,,
1988,3,2.905,-12.825,,1.279,0.476,0.312,0.332,,,,
1988,4,2.08,-4.51,,1.282,0.464,0.316,0.35,,,,
1988,5,0.669,3.059,,1.15,0.491,0.347,0.364,,,,
1988,6,0.75,10,,0.775,0.419,0.343,0.376,,,,
1988,7,0.605,13.475,,0.755,0.354,0.343,0.386,,,,
1988,8,0.703,12.083,,0.761,0.374,0.339,0.397,,,,
1988,9,0.613,6.033,,0.289,0.379,0.331,0.407,,,,
1988,10,0.354,-1.666,,0.193,0.405,0.329,0.421,,,,
1988,11,-0.235,-11.745,,0.13,0.411,0.3,0.444,,,,
1988,12,0.291,-19.409,,0.142,0.448,0.338,0.454,,,,
1989,1,0.347,-23.153,,0.183,0.464,0.317,0.454,,,,
1989,2,0.045,-20.875,,0.203,0.49,0.257,0.497,,,,
1989,3,-2.75,-18.48,,0.209,0.504,0.273,0.514,,,,
1989,4,0.918,-5.672,,0.169,0.498,0.253,0.526,,,,
1989,5,-0.082,2.308,,-0.039,0.551,0.259,0.53,,,,
1989,6,0.894,10.144,,-0.164,0.508,0.264,0.535,,,,
1989,7,1.095,13.965,,-0.049,0.484,0.267,0.532,,,,
1989,8,0.95,12.33,,-0.291,0.435,0.263,0.537,,,,
1989,9,0.686,6.106,,0.211,0.45,0.283,0.542,,,,
1989,10,-0.13,-2.15,,0.19,0.404,0.302,0.54,,,,
1989,11,-2.735,-14.245,,0.199,0.394,0.32,0.541,,,,
1989,12,-1.209,-20.909,,0.156,0.372,0.363,0.546,,,,
1990,1,1.735,-21.765,,0.106,0.349,0.363,0.547,,,,
1990,2,-2.863,-23.783,,0.049,0.357,0.375,0.55,,,,
1990,3,3.272,-12.458,,0.033,0.308,0.37,0.565,,,,
1990,4,0.664,-5.926,,-0.066,0.294,0.388,0.558,,,,
1990,5,0.027,2.417,,-0.004,0.283,0.388,0.549,,,,
1990,6,0.377,9.627,,-0.114,0.194,0.404,0.548,,,,
1990,7,0.5,13.37,,-0.353,0.214,0.406,0.553,,,,
1990,8,0.263,11.643,,0.098,0.207,0.413,0.552,,,,
1990,9,0.494,5.914,,-0.088,0.198,0.417,0.557,,,,
1990,10,-1.314,-3.334,,-0.007,0.178,0.426,0.556,,,,
1990,11,-2,-13.51,,0.099,0.188,0.443,0.557,,,,
1990,12,-2.527,-22.227,,0.158,0.181,0.422,0.566,,,,
1991,1,-1.124,-24.624,,0.143,0.174,0.381,0.56,,,,
1991,2,2.546,-18.374,,0.21,0.167,0.386,0.543,,,,
1991,3,1.037,-14.693,,0.177,0.15,0.376,0.535,,,,
1991,4,1.632,-4.958,,0.165,0.142,0.377,0.542,,,,
1991,5,1.307,3.697,,0.255,0.126,0.36,0.544,,,,
1991,6,1.087,10.337,,0.49,0.149,0.378,0.547,,,,
1991,7,0.314,13.184,,0.845,0.102,0.388,0.549,,,,
1991,8,1.065,12.445,,0.647,0.041,0.395,0.549,,,,
1991,9,0.102,5.522,,0.764,0.129,0.408,0.554,,,,
1991,10,-1.457,-3.477,,0.548,0.114,0.407,0.553,,,,
1991,11,-0.918,-12.428,,0.377,0.131,0.432,0.549,,,,
1991,12,0.284,-19.416,,0.215,0.136,0.415,0.555,,,,
1992,1,3.136,-20.364,,0.085,0.133,0.381,0.582,,,,
1992,2,0.177,-20.743,,-0.047,0.123,0.366,0.591,,,,
1992,3,2.432,-13.298,,-0.16,0.131,0.345,0.587,,,,
1992,4,-0.951,-7.541,,-0.078,0.164,0.328,0.588,,,,
1992,5,-0.743,1.647,,0.051,0.225,0.324,0.582,,,,
1992,6,-0.864,8.386,,-0.015,0.284,0.327,0.586,,,,
1992,7,-1.243,11.627,,-0.13,0.317,0.332,0.587,,,,
1992,8,-0.524,10.856,,-0.18,0.361,0.343,0.594,,,,
1992,9,-1.252,4.168,,-0.186,0.318,0.339,0.598,,,,
1992,10,-0.471,-2.491,,-0.035,0.327,0.328,0.595,,,,
1992,11,0.635,-10.875,,0.133,0.341,0.331,0.61,,,,
1992,12,-0.509,-20.209,,0.233,0.368,0.328,0.632,,,,
1993,1,1.753,-21.747,,0.351,0.356,0.324,0.64,,,,
1993,2,-0.425,-21.345,,0.421,0.356,0.363,0.633,,,,
1993,3,2.357,-13.373,,0.493,0.359,0.358,0.629,,,,
1993,4,0.869,-5.721,,0.519,0.389,0.371,0.628,,,,
1993,5,1.264,3.654,,0.366,0.396,0.39,0.643,,,,
1993,6,0.336,9.586,,0.549,0.424,0.4,0.641,,,,
1993,7,0.172,13.042,,0.195,0.408,0.408,0.645,,,,
1993,8,0.319,11.699,,-0.072,0.398,0.417,0.646,,,,
1993,9,-0.387,5.033,,-0.057,0.372,0.43,0.65,,,,
1993,10,-0.163,-2.183,,-0.124,0.349,0.441,0.658,,,,
1993,11,-1.193,-12.703,,-0.152,0.31,0.468,0.651,,,,
1993,12,1.687,-18.013,,-0.083,0.308,0.489,0.678,,,,
1994,1,-2.496,-25.996,,-0.019,0.313,0.497,0.674,,,,
1994,2,-3.628,-24.548,,-0.015,0.299,0.528,0.669,,,,
1994,3,2.537,-13.193,,0.114,0.312,0.587,0.668,,,,
1994,4,0.063,-6.527,,0.279,0.315,0.6,0.658,,,,
1994,5,0.93,3.32,,0.459,0.313,0.608,0.65,,,,
1994,6,1.169,10.419,,0.512,0.321,0.608,0.646,,,,
1994,7,0.931,13.801,,1.027,0.277,0.598,0.645,,,,
1994,8,0.372,11.752,,1.313,0.296,0.596,0.639,,,,
1994,9,1.154,6.574,,1.159,0.239,0.602,0.646,,,,
1994,10,1.816,-0.204,,1.252,0.251,0.599,0.648,,,,
1994,11,0.971,-10.539,,1.247,0.253,0.64,0.657,,,,
1994,12,2.329,-17.371,,1.316,0.282,0.679,0.664,,,,
1995,1,3.674,-19.826,,1.221,0.315,0.677,0.65,,,,
1995,2,-0.194,-21.114,,1.21,0.329,0.727,0.666,,,,
1995,3,0.686,-15.044,,1.17,0.37,0.736,0.671,,,,
1995,4,1.182,-5.408,,1.061,0.363,0.732,0.687,,,,
1995,5,0.878,3.268,,0.847,0.38,0.73,0.688,,,,
1995,6,1.986,11.236,,0.583,0.462,0.723,0.692,,,,
1995,7,-0.204,12.666,,0.102,0.433,0.727,0.694,,,,
1995,8,0.241,11.621,,0.281,0.519,0.726,0.699,,,,
1995,9,0.675,6.095,,0.181,0.517,0.722,0.702,,,,
1995,10,0.505,-1.515,,0.102,0.565,0.736,0.711,,,,
1995,11,-1.588,-13.098,,-0.057,0.593,0.766,0.735,,,,
1995,12,-0.841,-20.541,,-0.142,0.619,0.779,0.743,,,,
1996,1,-2.099,-25.599,,-0.074,0.643,0.831,0.754,,,,
1996,2,1.957,-18.963,,-0.075,0.666,0.812,0.761,,,,
1996,3,-0.522,-16.252,,-0.057,0.709,0.827,0.773,,,,
1996,4,0.233,-6.357,,-0.203,0.739,0.823,0.786,,,,
1996,5,-1.023,1.367,,-0.16,0.81,0.824,0.792,,,,
1996,6,0.967,10.217,,-0.024,0.828,0.819,0.805,,,,
1996,7,0.609,13.479,,0.193,0.892,0.824,0.813,,,,
1996,8,0.227,11.607,,0.14,1.016,0.826,0.818,,,,
1996,9,0.893,6.313,,0.1,1.045,0.841,0.829,,,,
1996,10,-1.248,-3.268,,0.062,1.085,0.855,0.839,,,,
1996,11,-1.067,-12.577,,0.094,1.084,0.88,0.854,,,,
1996,12,0.787,-18.913,,0.087,1.079,0.911,0.864,,,,
1997,1,0.505,-22.995,,0.099,1.063,0.907,0.863,,,,
1997,2,1.314,-19.606,,0.103,1.069,0.912,0.851,,,,
1997,3,-0.999,-16.729,,0.133,1.073,0.875,0.844,,,,
1997,4,-0.214,-6.804,,0.158,1.035,0.868,0.842,,,,
1997,5,-0.642,1.748,,0.388,1.054,0.861,0.843,,,,
1997,6,0.878,10.128,,0.689,1.073,0.873,0.844,,,,
1997,7,0.751,13.621,,0.649,1.037,0.888,0.85,,,,
1997,8,0.282,11.662,,0.935,1.093,0.894,0.854,,,,
1997,9,1.247,6.667,,1.204,1.153,0.916,0.848,,,,
1997,10,-0.948,-2.968,,1.534,1.137,0.915,0.852,,,,
1997,11,1.692,-9.818,,1.831,1.119,0.92,0.846,,,,
1997,12,4.407,-15.293,,1.918,1.079,0.967,0.827,,,,
1998,1,0.025,-23.475,,1.989,1.097,0.98,0.835,,,,
1998,2,4.743,-16.177,,2.108,1.097,0.971,0.832,,,,
1998,3,2.229,-13.501,,2.183,1.085,0.946,0.816,,,,
1998,4,3.745,-2.845,,2.403,1.082,0.941,0.81,,,,
1998,5,2.922,5.312,,2.515,1.135,0.94,0.812,,,,
1998,6,1.918,11.168,,2.379,1.133,0.94,0.813,,,,
1998,7,1.61,14.48,,2.491,1.254,0.946,0.814,,,,
1998,8,1.708,13.088,,2.41,1.226,0.953,0.815,,,,
1998,9,2.151,7.571,,2.581,1.283,0.969,0.814,,,,
1998,10,1.682,-0.338,,2.475,1.297,0.987,0.819,,,,
1998,11,3.036,-8.474,,2.306,1.339,1.003,0.829,,,,
1998,12,2.785,-16.915,,2.218,1.33,1.019,0.819,,,,
1999,1,1.366,-22.134,,2.081,1.336,1.031,0.824,,,,
1999,2,3.763,-17.157,,1.999,1.352,1.081,0.83,,,,
1999,3,4.281,-11.449,,1.934,1.371,1.063,0.837,,,,
1999,4,2.475,-4.115,,1.757,1.395,1.062,0.837,,,,
1999,5,0.898,3.288,,1.68,1.447,1.04,0.832,,,,
1999,6,0.865,10.115,,1.737,1.501,1.028,0.829,,,,
1999,7,-0.044,12.826,,1.747,1.536,1.023,0.825,,,,
1999,8,0.73,12.11,,1.699,1.528,1.015,0.823,,,,
1999,9,1.375,6.795,,1.701,1.511,1.008,0.831,,,,
1999,10,-0.449,-2.469,,1.512,1.485,0.993,0.828,,,,
1999,11,2.121,-9.389,,1.419,1.468,0.994,0.853,,,,
1999,12,3.46,-16.24,,1.314,1.465,0.964,0.866,,,,
2000,1,1.488,-22.012,,1.391,1.462,0.937,0.878,,,,
2000,2,3.194,-17.726,,1.35,1.46,0.957,0.915,,,,
2000,3,4.298,-11.432,,1.233,1.461,0.972,0.926,,,,
2000,4,0.209,-6.381,,1.297,1.468,0.987,0.946,,,,
2000,5,-0.213,2.177,,1.254,1.46,0.988,0.95,,,,
2000,6,-0.395,8.855,,0.884,1.472,0.979,0.951,,,,
2000,7,0.873,13.743,,1.187,1.527,0.982,0.955,,,,
2000,8,0.235,11.615,,0.946,1.423,0.984,0.96,,,,
2000,9,-0.019,5.401,,0.828,1.375,0.986,0.962,,,,
2000,10,0.318,-1.702,,0.9,1.317,0.996,0.977,,,,
2000,11,1.598,-9.912,,1.043,1.287,1.027,0.998,,,,
2000,12,-0.972,-20.672,,1.113,1.26,1.065,1.023,,,,
2001,1,5.119,-18.381,,1.12,1.25,1.127,1.041,,,,
2001,2,0.296,-20.624,,1.202,1.24,1.137,1.034,,,,
2001,3,2.891,-12.839,,1.368,1.23,1.171,1.03,,,,
2001,4,1.064,-5.526,,1.359,1.235,1.195,1.019,,,,
2001,5,1.506,3.896,,1.397,1.196,1.223,1.016,,,,
2001,6,0.45,9.7,,1.816,1.21,1.233,1.015,,,,
2001,7,0.951,13.821,,1.607,1.169,1.237,1.018,,,,
2001,8,1.22,12.6,,1.649,1.147,1.242,1.02,,,,
2001,9,1.981,7.401,,1.243,1.08,1.25,1.029,,,,
2001,10,0.199,-1.821,,1.003,1.04,1.272,1.043,,,,
2001,11,2.06,-9.45,,0.741,0.995,1.275,1.053,,,,
2001,12,4.056,-15.644,,0.76,0.977,1.312,1.068,,,,
2002,1,2.613,-20.887,,0.727,0.983,1.345,1.068,,,,
2002,2,0.798,-20.122,,0.641,0.961,1.336,1.086,,,,
2002,3,-1.979,-17.709,,0.586,0.943,1.343,1.085,,,,
2002,4,-1.825,-8.415,,0.525,0.952,1.357,1.095,,,,
2002,5,-1.632,0.758,,0.454,0.934,1.362,1.105,,,,
2002,6,0.681,9.931,,0.544,0.856,1.36,1.117,,,,
2002,7,0.554,13.424,,0.605,0.837,1.368,1.13,,,,
2002,8,0.185,11.565,,0.413,0.82,1.366,1.139,,,,
